epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.711,2.59572,4.15051,2.26373,0.00663,0.20312,0.01457,0.01029,1.81381,3.90157,1.56376,0.00035,0.00035,0.00035
2,395.943,2.33296,3.86748,1.85245,0.00317,0.22699,0.03063,0.02035,2.72359,3.99303,2.43381,0.000571425,0.000571425,0.000571425
3,577.885,2.25679,3.60069,1.80763,0.54512,0.02357,0.05159,0.03295,2.1483,3.67423,1.9711,0.0006493,0.0006493,0.0006493
4,759.698,2.23128,3.37023,1.77101,0.2006,0.09575,0.07679,0.0565,1.77857,3.0505,1.53398,0.0005075,0.0005075,0.0005075
5,944.894,2.08842,3.20316,1.73083,0.23217,0.13547,0.08914,0.0671,1.65733,2.82518,1.54313,0.00026,0.00026,0.00026
