epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
161,1012.37,0.25656,0.26693,0.94193,0.00203,0.73008,0.68148,0.73856,0.7185,0.26951,1.39342,0.88688,0.0141,0.00026,0.00026,0.00026
162,1018.55,0.25298,0.26887,0.94162,0.00261,0.65735,0.7987,0.74448,0.72433,0.28002,1.40184,0.89753,0.01502,0.000253812,0.000253812,0.000253812
163,1024.54,0.26229,0.27915,0.94431,0.00285,0.71766,0.73721,0.7405,0.72066,0.2794,1.45128,0.90548,0.01359,0.000247625,0.000247625,0.000247625
164,1030.7,0.26668,0.29358,0.95255,0.00259,0.66074,0.80835,0.73357,0.71215,0.27978,1.46247,0.90381,0.01409,0.000241438,0.000241438,0.000241438
165,1036.72,0.26779,0.28843,0.97224,0.00418,0.70935,0.73001,0.73103,0.70886,0.28661,1.5582,0.90637,0.01503,0.00023525,0.00023525,0.00023525
166,1042.81,0.26515,0.28821,0.94562,0.00241,0.72606,0.69921,0.71176,0.68846,0.28107,1.51223,0.90274,0.01453,0.000229063,0.000229063,0.000229063
167,1048.85,0.26172,0.27567,0.96323,0.00251,0.75199,0.72661,0.73604,0.71373,0.28451,1.44572,0.90279,0.0148,0.000222875,0.000222875,0.000222875
168,1054.91,0.25784,0.26843,0.94105,0.00237,0.72164,0.76312,0.7447,0.72299,0.28291,1.46121,0.89953,0.01656,0.000216688,0.000216688,0.000216688
169,1060.88,0.25271,0.26587,0.94946,0.00259,0.72689,0.72352,0.73861,0.71519,0.28725,1.47593,0.90792,0.01774,0.0002105,0.0002105,0.0002105
170,1067.08,0.25042,0.26362,0.9296,0.00193,0.71396,0.7153,0.72985,0.70708,0.27729,1.54004,0.89727,0.01387,0.000204313,0.000204313,0.000204313
171,1073.09,0.26774,0.28365,0.97654,0.00286,0.62745,0.80735,0.73206,0.71283,0.26808,1.48886,0.89392,0.01107,0.000198125,0.000198125,0.000198125
172,1079.33,0.26037,0.27331,0.95535,0.00297,0.65489,0.77473,0.73921,0.71566,0.27789,1.51948,0.89387,0.01575,0.000191938,0.000191938,0.000191938
173,1085.4,0.25665,0.27407,0.95234,0.00231,0.68676,0.70686,0.72447,0.70272,0.26531,1.58095,0.89155,0.01246,0.00018575,0.00018575,0.00018575
174,1091.53,0.25877,0.26972,0.95159,0.00294,0.692,0.7065,0.7202,0.69905,0.25965,1.57546,0.88784,0.0104,0.000179563,0.000179563,0.000179563
175,1097.5,0.24913,0.26303,0.9365,0.00239,0.7182,0.72358,0.72875,0.70639,0.26724,1.5465,0.88888,0.01183,0.000173375,0.000173375,0.000173375
176,1103.61,0.24626,0.2636,0.93142,0.00244,0.72286,0.76601,0.74404,0.71962,0.27244,1.48106,0.8974,0.01294,0.000167188,0.000167188,0.000167188
177,1109.6,0.24872,0.26028,0.93629,0.00248,0.74197,0.71634,0.74389,0.72007,0.27006,1.43366,0.89609,0.01275,0.000161,0.000161,0.000161
178,1115.68,0.25356,0.26994,0.94736,0.00207,0.65736,0.79044,0.72491,0.70564,0.26605,1.53622,0.89451,0.01203,0.000154812,0.000154812,0.000154812
179,1121.75,0.25103,0.26773,0.95404,0.00204,0.71038,0.71711,0.71388,0.69418,0.2683,1.53502,0.89301,0.01217,0.000148625,0.000148625,0.000148625
180,1127.65,0.24556,0.25717,0.94214,0.00186,0.69831,0.73889,0.71945,0.70081,0.26864,1.51062,0.89393,0.01146,0.000142437,0.000142437,0.000142437
181,1133.64,0.24845,0.26719,0.93961,0.00234,0.69517,0.75229,0.72644,0.70843,0.26261,1.51944,0.89435,0.01104,0.00013625,0.00013625,0.00013625
182,1139.79,0.25043,0.26142,0.93712,0.00227,0.67978,0.75218,0.72113,0.70248,0.26526,1.56572,0.89405,0.01054,0.000130062,0.000130062,0.000130062
183,1145.92,0.25689,0.26945,0.96335,0.00249,0.70245,0.72374,0.72016,0.70143,0.27507,1.58855,0.89976,0.01223,0.000123875,0.000123875,0.000123875
184,1152.08,0.24006,0.25508,0.92815,0.0021,0.72685,0.71332,0.72922,0.70814,0.27177,1.5061,0.89695,0.0123,0.000117687,0.000117687,0.000117687
185,1158.06,0.25092,0.26364,0.93737,0.00285,0.70674,0.73671,0.73856,0.72028,0.26841,1.48903,0.89339,0.01187,0.0001115,0.0001115,0.0001115
186,1164.05,0.24206,0.2518,0.93807,0.00222,0.67854,0.77466,0.731,0.71058,0.26904,1.4856,0.89246,0.01156,0.000105312,0.000105312,0.000105312
187,1170.22,0.24272,0.25973,0.93742,0.00254,0.69889,0.75812,0.72762,0.70608,0.26953,1.50738,0.89491,0.01272,9.9125e-05,9.9125e-05,9.9125e-05
188,1176.28,0.25444,0.2694,0.96016,0.00241,0.70458,0.75925,0.73002,0.70708,0.26493,1.48972,0.89121,0.01373,9.29375e-05,9.29375e-05,9.29375e-05
189,1182.31,0.25413,0.25851,0.95681,0.00201,0.71476,0.73167,0.73448,0.71356,0.2684,1.48381,0.89468,0.01211,8.675e-05,8.675e-05,8.675e-05
190,1188.33,0.23812,0.25183,0.93477,0.0024,0.71716,0.75325,0.73736,0.71569,0.26642,1.48368,0.89266,0.01045,8.05625e-05,8.05625e-05,8.05625e-05
191,1199.31,0.15887,0.1722,0.83605,0.00108,0.7158,0.75067,0.73973,0.71985,0.26892,1.4547,0.89402,0.0103,7.4375e-05,7.4375e-05,7.4375e-05
192,1205.71,0.15225,0.16512,0.82656,0.00087,0.7176,0.76625,0.7427,0.72319,0.2601,1.43856,0.88866,0.00951,6.81875e-05,6.81875e-05,6.81875e-05
193,1211.95,0.15104,0.15719,0.82309,0.00109,0.6975,0.77328,0.74914,0.72914,0.2667,1.43071,0.89091,0.01124,6.2e-05,6.2e-05,6.2e-05
194,1217.93,0.15703,0.15793,0.82777,0.00119,0.71935,0.75655,0.75041,0.72886,0.26735,1.44201,0.89207,0.01252,5.58125e-05,5.58125e-05,5.58125e-05
195,1223.79,0.16017,0.17883,0.83184,0.00143,0.64927,0.82181,0.74497,0.72559,0.27095,1.47065,0.89806,0.01353,4.9625e-05,4.9625e-05,4.9625e-05
196,1229.65,0.15115,0.16068,0.82029,0.00113,0.66673,0.81203,0.73926,0.71862,0.27904,1.46624,0.90133,0.01813,4.34375e-05,4.34375e-05,4.34375e-05
197,1235.5,0.14997,0.15317,0.82458,0.00094,0.66699,0.79308,0.73617,0.71401,0.2784,1.44759,0.90043,0.017,3.725e-05,3.725e-05,3.725e-05
198,1241.43,0.14582,0.14824,0.8183,0.0008,0.64703,0.80008,0.73806,0.71594,0.27199,1.43587,0.89805,0.01521,3.10625e-05,3.10625e-05,3.10625e-05
199,1247.36,0.15015,0.16362,0.82588,0.00098,0.64001,0.79662,0.74016,0.71884,0.27119,1.43381,0.89703,0.01402,2.4875e-05,2.4875e-05,2.4875e-05
200,1253.28,0.15236,0.16473,0.82251,0.00115,0.63108,0.80197,0.73696,0.71603,0.26977,1.44464,0.89724,0.01321,1.86875e-05,1.86875e-05,1.86875e-05
