epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,260.862,0.40998,0.58388,1.05104,0.00899,0.64203,0.772,0.7067,0.6664,0.34517,1.3069,0.95366,0.01933,0.00102725,0.00102725,0.00102725
38,266.917,0.41896,0.58234,1.05861,0.01056,0.67294,0.75699,0.76541,0.7191,0.34866,1.03968,0.9655,0.01998,0.00102106,0.00102106,0.00102106
39,272.954,0.40519,0.56281,1.04681,0.01115,0.64275,0.85152,0.73542,0.68779,0.33341,1.42031,0.93935,0.01927,0.00101488,0.00101488,0.00101488
40,279.168,0.40941,0.57149,1.05712,0.01015,0.64378,0.83557,0.74798,0.7178,0.2984,1.07054,0.91399,0.00773,0.00100869,0.00100869,0.00100869
41,285.057,0.40726,0.5581,1.04983,0.00768,0.64904,0.7906,0.74224,0.70399,0.32357,1.0905,0.91833,0.01213,0.0010025,0.0010025,0.0010025
42,291.04,0.4088,0.56683,1.05128,0.00755,0.69249,0.74887,0.71469,0.67914,0.28344,1.08398,0.89729,0.00827,0.000996313,0.000996313,0.000996313
43,296.991,0.38903,0.53123,1.04157,0.00684,0.65889,0.75331,0.7219,0.69511,0.27687,1.13659,0.90681,0.00723,0.000990125,0.000990125,0.000990125
44,303.136,0.3988,0.55772,1.04094,0.00773,0.663,0.79755,0.73704,0.69717,0.31458,1.25139,0.90494,0.01091,0.000983938,0.000983938,0.000983938
45,309.198,0.39079,0.51181,1.0145,0.00922,0.68612,0.813,0.75548,0.72137,0.29622,1.19493,0.91581,0.01143,0.00097775,0.00097775,0.00097775
46,315.341,0.3858,0.53768,1.03616,0.00697,0.67006,0.7514,0.75104,0.7172,0.31687,1.26632,0.92332,0.01488,0.000971562,0.000971562,0.000971562
47,321.291,0.39415,0.52002,1.04205,0.00658,0.61375,0.84877,0.73689,0.7088,0.28283,1.2429,0.90395,0.00607,0.000965375,0.000965375,0.000965375
48,327.412,0.38941,0.53693,1.03884,0.00714,0.65362,0.77794,0.72838,0.69644,0.30118,1.37983,0.92455,0.00996,0.000959187,0.000959187,0.000959187
49,333.537,0.38677,0.50735,1.0458,0.00664,0.66399,0.77498,0.73951,0.71155,0.28595,1.25913,0.90805,0.00922,0.000953,0.000953,0.000953
50,339.592,0.37918,0.50006,1.03778,0.00614,0.62264,0.80882,0.72425,0.68957,0.28585,1.1638,0.9103,0.00625,0.000946812,0.000946812,0.000946812
51,345.543,0.37909,0.5084,1.03516,0.0051,0.68422,0.82733,0.74686,0.70727,0.28203,1.49583,0.91249,0.01067,0.000940625,0.000940625,0.000940625
52,351.683,0.38266,0.50111,1.04776,0.00664,0.57522,0.86538,0.70108,0.66031,0.333,1.30642,0.9448,0.02286,0.000934438,0.000934438,0.000934438
53,357.577,0.36649,0.49845,1.02605,0.00497,0.59668,0.84297,0.70545,0.6744,0.28671,1.45036,0.92126,0.00876,0.00092825,0.00092825,0.00092825
54,363.617,0.37084,0.51421,1.02315,0.00631,0.67184,0.77417,0.74622,0.71622,0.29115,1.31032,0.90704,0.00699,0.000922063,0.000922063,0.000922063
55,369.628,0.36835,0.48042,1.01388,0.00621,0.60232,0.77992,0.67246,0.64143,0.31869,1.42894,0.9342,0.01816,0.000915875,0.000915875,0.000915875
56,375.691,0.35311,0.47797,1.0063,0.00514,0.67853,0.73518,0.75082,0.71968,0.2762,1.24216,0.90301,0.00604,0.000909688,0.000909688,0.000909688
57,381.705,0.35817,0.4678,1.01745,0.00574,0.65964,0.77166,0.73833,0.71261,0.28138,1.29182,0.91157,0.00924,0.0009035,0.0009035,0.0009035
58,387.663,0.35337,0.48211,1.00069,0.00522,0.63998,0.69745,0.71387,0.6866,0.28252,1.25236,0.90749,0.00762,0.000897313,0.000897313,0.000897313
59,393.734,0.37762,0.48804,1.04401,0.00507,0.64254,0.72962,0.68596,0.65394,0.29835,1.33814,0.9276,0.0102,0.000891125,0.000891125,0.000891125
60,399.794,0.35362,0.45129,1.0115,0.00514,0.61581,0.74709,0.69977,0.67434,0.28184,1.31282,0.91622,0.00934,0.000884938,0.000884938,0.000884938
61,405.781,0.35045,0.45625,1.00799,0.0051,0.56474,0.83528,0.69333,0.66431,0.29071,1.27942,0.91603,0.00879,0.00087875,0.00087875,0.00087875
62,411.914,0.36027,0.43942,1.01714,0.00573,0.65161,0.8005,0.7443,0.7196,0.28168,1.2111,0.91785,0.00943,0.000872563,0.000872563,0.000872563
63,417.939,0.35572,0.44427,1.02896,0.0046,0.6887,0.76513,0.74953,0.71934,0.28617,1.32117,0.9039,0.00464,0.000866375,0.000866375,0.000866375
64,424.005,0.35806,0.45366,1.01173,0.005,0.62854,0.82379,0.72567,0.70297,0.26491,1.31202,0.89005,0.00521,0.000860188,0.000860188,0.000860188
65,430.083,0.34304,0.42018,1.00044,0.00549,0.61759,0.78941,0.7128,0.68775,0.27246,1.39009,0.90312,0.00692,0.000854,0.000854,0.000854
66,436.184,0.3463,0.42935,1.0017,0.00506,0.63203,0.74164,0.69733,0.67279,0.28391,1.313,0.90704,0.00539,0.000847813,0.000847813,0.000847813
67,442.189,0.35451,0.44353,1.02355,0.00512,0.60351,0.81773,0.69442,0.66683,0.28319,1.33554,0.9118,0.00822,0.000841625,0.000841625,0.000841625
68,448.294,0.36535,0.44561,1.02139,0.00573,0.63016,0.77453,0.70129,0.67704,0.2832,1.36349,0.90494,0.00997,0.000835438,0.000835438,0.000835438
69,454.477,0.34857,0.42702,1.00302,0.00472,0.64779,0.82659,0.73885,0.71625,0.28312,1.30972,0.89915,0.01013,0.00082925,0.00082925,0.00082925
70,460.59,0.33717,0.43144,0.99463,0.00475,0.63007,0.83152,0.7267,0.69558,0.29964,1.3144,0.91951,0.01948,0.000823063,0.000823063,0.000823063
71,466.556,0.35296,0.44413,1.01257,0.00572,0.66846,0.75943,0.73572,0.70853,0.27852,1.21349,0.90825,0.01215,0.000816875,0.000816875,0.000816875
72,472.595,0.3434,0.42244,1.02171,0.00439,0.68771,0.75129,0.73766,0.70873,0.28636,1.32654,0.91752,0.01397,0.000810688,0.000810688,0.000810688
73,478.56,0.34745,0.4285,1.01833,0.00458,0.71018,0.73662,0.74217,0.72184,0.28331,1.43942,0.91609,0.01313,0.0008045,0.0008045,0.0008045
74,484.646,0.34565,0.42707,1.01532,0.00553,0.65338,0.80324,0.71042,0.68692,0.29123,1.35554,0.92207,0.01069,0.000798313,0.000798313,0.000798313
75,490.58,0.33634,0.41303,0.99414,0.00411,0.66137,0.76562,0.73474,0.70414,0.28919,1.29301,0.91845,0.01197,0.000792125,0.000792125,0.000792125
76,496.735,0.33862,0.42192,1.01243,0.00461,0.65041,0.73265,0.71557,0.68209,0.31329,1.23554,0.92571,0.0171,0.000785938,0.000785938,0.000785938
77,502.731,0.34389,0.42185,1.01471,0.00433,0.69961,0.74005,0.75767,0.72342,0.27641,1.24521,0.899,0.01113,0.00077975,0.00077975,0.00077975
78,508.803,0.323,0.40627,0.98266,0.00411,0.64907,0.71993,0.70742,0.68262,0.28836,1.57517,0.90716,0.01036,0.000773563,0.000773563,0.000773563
79,514.723,0.33338,0.41558,0.99642,0.00498,0.70726,0.74402,0.7356,0.71192,0.25601,1.44529,0.89,0.00629,0.000767375,0.000767375,0.000767375
80,520.811,0.36302,0.42881,1.031,0.00578,0.70637,0.75379,0.73866,0.71583,0.2884,1.27122,0.89901,0.00942,0.000761188,0.000761188,0.000761188
81,526.801,0.3283,0.39452,0.99044,0.00485,0.71338,0.77873,0.76318,0.729,0.2802,1.19447,0.89771,0.01353,0.000755,0.000755,0.000755
82,532.971,0.33245,0.38617,0.99138,0.00426,0.70752,0.84069,0.76082,0.72639,0.28715,1.42787,0.90051,0.01148,0.000748813,0.000748813,0.000748813
83,539.03,0.31594,0.37277,0.98357,0.00447,0.73291,0.68876,0.74459,0.71502,0.26815,1.2688,0.90149,0.00829,0.000742625,0.000742625,0.000742625
84,545.118,0.31943,0.40247,0.99289,0.00373,0.71274,0.7238,0.71073,0.68888,0.27767,1.37794,0.90839,0.00924,0.000736438,0.000736438,0.000736438
85,551.148,0.32494,0.38353,0.98936,0.00447,0.66934,0.77735,0.72074,0.69708,0.26685,1.23495,0.88353,0.00836,0.00073025,0.00073025,0.00073025
86,557.152,0.33933,0.41253,0.99797,0.00453,0.71924,0.79579,0.72738,0.70495,0.27809,1.16327,0.89309,0.01311,0.000724062,0.000724062,0.000724062
